"Series ID","Month","Value","Annual Percent Change"
"CUSR0000SA0","December 1, 2009","217.347","2.8"
"CUSR0000SA0","November 1, 2009","217.234","1.9"
"CUSR0000SA0","October 1, 2009","216.509","-0.2"
"CUSR0000SA0","September 1, 2009","215.861","-1.4"
"CUSR0000SA0","August 1, 2009","215.445","-1.5"
"CUSR0000SA0","July 1, 2009","214.726","-2.0"
"CUSR0000SA0","June 1, 2009","214.790","-1.2"
"CUSR0000SA0","May 1, 2009","213.022","-1.0"
"CUSR0000SA0","April 1, 2009","212.709","-0.6"
"CUSR0000SA0","March 1, 2009","212.495","-0.4"
"CUSR0000SA0","February 1, 2009","212.705","0.0"
"CUSR0000SA0","January 1, 2009","211.933","-0.1"
"CUSR0000SA0","December 1, 2008","211.398","0.0"
"CUSR0000SA0","November 1, 2008","213.153","1.1"
"CUSR0000SA0","October 1, 2008","216.995","3.7"
"CUSR0000SA0","September 1, 2008","218.877","5.0"
"CUSR0000SA0","August 1, 2008","218.690","5.3"
"CUSR0000SA0","July 1, 2008","219.016","5.5"
"CUSR0000SA0","June 1, 2008","217.463","4.9"
"CUSR0000SA0","May 1, 2008","215.208","4.1"
"CUSR0000SA0","April 1, 2008","213.942","3.9"
"CUSR0000SA0","March 1, 2008","213.448","4.0"
"CUSR0000SA0","February 1, 2008","212.687","4.1"
"CUSR0000SA0","January 1, 2008","212.174","4.3"
"CUSR0000SA0","December 1, 2007","211.445","4.1"
"CUSR0000SA0","November 1, 2007","210.834","4.4"
"CUSR0000SA0","October 1, 2007","209.190","3.6"
"CUSR0000SA0","September 1, 2007","208.547","2.8"
"CUSR0000SA0","August 1, 2007","207.667","1.9"
"CUSR0000SA0","July 1, 2007","207.603","2.3"
"CUSR0000SA0","June 1, 2007","207.234","2.7"
"CUSR0000SA0","May 1, 2007","206.755","2.7"
"CUSR0000SA0","April 1, 2007","205.904","2.6"
"CUSR0000SA0","March 1, 2007","205.288","2.8"
"CUSR0000SA0","February 1, 2007","204.226","2.4"
"CUSR0000SA0","January 1, 2007","203.437","2.1"
"CUSR0000SA0","December 1, 2006","203.1","2.5"
"CUSR0000SA0","November 1, 2006","202.0","2.0"
"CUSR0000SA0","October 1, 2006","201.9","1.4"
"CUSR0000SA0","September 1, 2006","202.8","2.0"
"CUSR0000SA0","August 1, 2006","203.8","3.9"
"CUSR0000SA0","July 1, 2006","202.9","4.1"
"CUSR0000SA0","June 1, 2006","201.8","4.2"
"CUSR0000SA0","May 1, 2006","201.3","4.0"
"CUSR0000SA0","April 1, 2006","200.7","3.6"
"CUSR0000SA0","March 1, 2006","199.7","3.4"
"CUSR0000SA0","February 1, 2006","199.4","3.6"
"CUSR0000SA0","January 1, 2006","199.3","4.0"
"CUSR0000SA0","December 1, 2005","198.1","3.3"
"CUSR0000SA0","November 1, 2005","198.1","3.3"
"CUSR0000SA0","October 1, 2005","199.1","4.4"
"CUSR0000SA0","September 1, 2005","198.8","4.7"
"CUSR0000SA0","August 1, 2005","196.1","3.6"
"CUSR0000SA0","July 1, 2005","194.9","3.1"
"CUSR0000SA0","June 1, 2005","193.7","2.5"
"CUSR0000SA0","May 1, 2005","193.6","2.9"
"CUSR0000SA0","April 1, 2005","193.7","3.4"
"CUSR0000SA0","March 1, 2005","193.1","3.2"
"CUSR0000SA0","February 1, 2005","192.4","3.1"
