"Series ID","Month","Value","Annual Percent Change"
"CUSR0000SA0","December 1, 2019","258.630","2.3"
"CUSR0000SA0","November 1, 2019","257.879","2.1"
"CUSR0000SA0","October 1, 2019","257.155","1.7"
"CUSR0000SA0","September 1, 2019","256.430","1.7"
"CUSR0000SA0","August 1, 2019","256.036","1.7"
"CUSR0000SA0","July 1, 2019","255.802","1.8"
"CUSR0000SA0","June 1, 2019","255.213","1.7"
"CUSR0000SA0","May 1, 2019","255.296","1.8"
"CUSR0000SA0","April 1, 2019","255.233","2.0"
"CUSR0000SA0","March 1, 2019","254.277","1.9"
"CUSR0000SA0","February 1, 2019","253.319","1.5"
"CUSR0000SA0","January 1, 2019","252.561","1.5"
"CUSR0000SA0","December 1, 2018","252.767","2.0"
"CUSR0000SA0","November 1, 2018","252.594","2.1"
"CUSR0000SA0","October 1, 2018","252.772","2.5"
"CUSR0000SA0","September 1, 2018","252.182","2.3"
"CUSR0000SA0","August 1, 2018","251.663","2.6"
"CUSR0000SA0","July 1, 2018","251.214","2.9"
"CUSR0000SA0","June 1, 2018","251.018","2.8"
"CUSR0000SA0","May 1, 2018","250.792","2.8"
"CUSR0000SA0","April 1, 2018","250.227","2.5"
"CUSR0000SA0","March 1, 2018","249.577","2.3"
"CUSR0000SA0","February 1, 2018","249.529","2.3"
"CUSR0000SA0","January 1, 2018","248.859","2.2"
"CUSR0000SA0","December 1, 2017","247.805","2.1"
"CUSR0000SA0","November 1, 2017","247.284","2.2"
"CUSR0000SA0","October 1, 2017","246.626","2.0"
"CUSR0000SA0","September 1, 2017","246.435","2.2"
"CUSR0000SA0","August 1, 2017","245.183","1.9"
"CUSR0000SA0","July 1, 2017","244.243","1.7"
"CUSR0000SA0","June 1, 2017","244.163","1.6"
"CUSR0000SA0","May 1, 2017","244.004","1.9"
"CUSR0000SA0","April 1, 2017","244.193","2.2"
"CUSR0000SA0","March 1, 2017","243.892","2.4"
"CUSR0000SA0","February 1, 2017","244.006","2.8"
"CUSR0000SA0","January 1, 2017","243.618","2.5"
"CUSR0000SA0","December 1, 2016","242.637","2.1"
"CUSR0000SA0","November 1, 2016","242.026","1.7"
"CUSR0000SA0","October 1, 2016","241.741","1.7"
"CUSR0000SA0","September 1, 2016","241.176","1.5"
"CUSR0000SA0","August 1, 2016","240.545","1.1"
"CUSR0000SA0","July 1, 2016","240.101","0.9"
"CUSR0000SA0","June 1, 2016","240.222","1.1"
"CUSR0000SA0","May 1, 2016","239.557","1.1"
"CUSR0000SA0","April 1, 2016","238.992","1.2"
"CUSR0000SA0","March 1, 2016","238.080","0.9"
"CUSR0000SA0","February 1, 2016","237.336","0.8"
"CUSR0000SA0","January 1, 2016","237.652","1.2"
"CUSR0000SA0","December 1, 2015","237.761","0.6"
"CUSR0000SA0","November 1, 2015","238.017","0.4"
"CUSR0000SA0","October 1, 2015","237.733","0.1"
"CUSR0000SA0","September 1, 2015","237.498","0.0"
"CUSR0000SA0","August 1, 2015","238.033","0.2"
"CUSR0000SA0","July 1, 2015","238.034","0.2"
"CUSR0000SA0","June 1, 2015","237.657","0.2"
"CUSR0000SA0","May 1, 2015","237.001","0.0"
"CUSR0000SA0","April 1, 2015","236.222","-0.1"
"CUSR0000SA0","March 1, 2015","235.976","0.0"
"CUSR0000SA0","February 1, 2015","235.342","-0.1"
"CUSR0000SA0","January 1, 2015","234.747","-0.2"
"CUSR0000SA0","December 1, 2014","236.252","0.7"
"CUSR0000SA0","November 1, 2014","236.983","1.2"
"CUSR0000SA0","October 1, 2014","237.430","1.6"
"CUSR0000SA0","September 1, 2014","237.477","1.7"
"CUSR0000SA0","August 1, 2014","237.460","1.7"
"CUSR0000SA0","July 1, 2014","237.498","2.0"
"CUSR0000SA0","June 1, 2014","237.231","2.1"
"CUSR0000SA0","May 1, 2014","236.918","2.2"
"CUSR0000SA0","April 1, 2014","236.468","2.0"
"CUSR0000SA0","March 1, 2014","236.028","1.6"
"CUSR0000SA0","February 1, 2014","235.547","1.1"
"CUSR0000SA0","January 1, 2014","235.288","1.6"
"CUSR0000SA0","December 1, 2013","234.719","1.5"
"CUSR0000SA0","November 1, 2013","234.100","1.2"
"CUSR0000SA0","October 1, 2013","233.669","0.9"
"CUSR0000SA0","September 1, 2013","233.544","1.1"
"CUSR0000SA0","August 1, 2013","233.456","1.5"
"CUSR0000SA0","July 1, 2013","232.900","1.9"
"CUSR0000SA0","June 1, 2013","232.445","1.7"
"CUSR0000SA0","May 1, 2013","231.893","1.4"
"CUSR0000SA0","April 1, 2013","231.797","1.1"
"CUSR0000SA0","March 1, 2013","232.282","1.5"
"CUSR0000SA0","February 1, 2013","232.937","2.0"
"CUSR0000SA0","January 1, 2013","231.679","1.7"
"CUSR0000SA0","December 1, 2012","231.221","1.8"
