"Series ID","Year","Value"
"LNS11000000","2025","170510"
"LNS11000000","2025","171135"
"LNS11000000","2025","170591"
"LNS11000000","2025","170359"
"LNS11000000","2025","170744"
"LNS11000000","2024","168547"
"LNS11000000","2024","168304"
"LNS11000000","2024","168428"
"LNS11000000","2024","168703"
"LNS11000000","2024","168496"
"LNS11000000","2024","168315"
"LNS11000000","2024","168005"
"LNS11000000","2024","167799"
"LNS11000000","2024","167988"
"LNS11000000","2024","167922"
"LNS11000000","2024","167475"
"LNS11000000","2024","167339"
"LNS11000000","2023","167439"
"LNS11000000","2023","168140"
"LNS11000000","2023","167690"
"LNS11000000","2023","167767"
"LNS11000000","2023","167759"
"LNS11000000","2023","167103"
"LNS11000000","2023","166937"
"LNS11000000","2023","166886"
"LNS11000000","2023","166725"
"LNS11000000","2023","166651"
"LNS11000000","2023","166358"
"LNS11000000","2023","165964"
"LNS11000000","2022","165025"
"LNS11000000","2022","164450"
"LNS11000000","2022","164648"
"LNS11000000","2022","164602"
"LNS11000000","2022","164654"
"LNS11000000","2022","164026"
"LNS11000000","2022","164046"
"LNS11000000","2022","164362"
"LNS11000000","2022","163893"
"LNS11000000","2022","164220"
"LNS11000000","2022","163899"
"LNS11000000","2022","163627"
"LNS11000000","2021","162497"
"LNS11000000","2021","162281"
"LNS11000000","2021","161754"
"LNS11000000","2021","161495"
"LNS11000000","2021","161527"
"LNS11000000","2021","161504"
"LNS11000000","2021","161197"
"LNS11000000","2021","160800"
"LNS11000000","2021","160843"
"LNS11000000","2021","160400"
"LNS11000000","2021","160184"
"LNS11000000","2021","160088"
"LNS11000000","2020","160745"
"LNS11000000","2020","160629"
"LNS11000000","2020","161003"
"LNS11000000","2020","160174"
"LNS11000000","2020","160706"
"LNS11000000","2020","160132"
"LNS11000000","2020","159994"
"LNS11000000","2020","158101"
"LNS11000000","2020","156269"
"LNS11000000","2020","162559"
"LNS11000000","2020","164467"
"LNS11000000","2020","164377"
"LNS11000000","2019","164699"
"LNS11000000","2019","164496"
"LNS11000000","2019","164416"
"LNS11000000","2019","164092"
"LNS11000000","2019","163774"
"LNS11000000","2019","163590"
"LNS11000000","2019","163168"
"LNS11000000","2019","162751"
"LNS11000000","2019","162586"
"LNS11000000","2019","162904"
"LNS11000000","2019","162999"
"LNS11000000","2019","162963"
"LNS11000000","2018","163206"
"LNS11000000","2018","162836"
"LNS11000000","2018","162602"
"LNS11000000","2018","162087"
"LNS11000000","2018","161660"
"LNS11000000","2018","162341"
"LNS11000000","2018","162210"
"LNS11000000","2018","161848"
"LNS11000000","2018","161771"
"LNS11000000","2018","161686"
"LNS11000000","2018","161778"
"LNS11000000","2018","160914"
"LNS11000000","2017","160535"
"LNS11000000","2017","160579"
"LNS11000000","2017","160309"
"LNS11000000","2017","161140"
"LNS11000000","2017","160586"
"LNS11000000","2017","160462"
"LNS11000000","2017","160192"
"LNS11000000","2017","160068"
"LNS11000000","2017","160345"
"LNS11000000","2017","160137"
"LNS11000000","2017","159859"
"LNS11000000","2017","159620"
"LNS11000000","2016","159678"
"LNS11000000","2016","159506"
"LNS11000000","2016","159605"
"LNS11000000","2016","159714"
"LNS11000000","2016","159562"
"LNS11000000","2016","159194"
"LNS11000000","2016","158967"
"LNS11000000","2016","158784"
"LNS11000000","2016","159141"
"LNS11000000","2016","159179"
"LNS11000000","2016","158640"
"LNS11000000","2016","158280"
"LNS11000000","2015","158035"
"LNS11000000","2015","157463"
"LNS11000000","2015","157167"
"LNS11000000","2015","156733"
"LNS11000000","2015","157172"
"LNS11000000","2015","156997"
"LNS11000000","2015","157062"
"LNS11000000","2015","157651"
"LNS11000000","2015","157060"
"LNS11000000","2015","156643"
"LNS11000000","2015","156644"
"LNS11000000","2015","157030"
